student_id,course_id,chapter_id,time_spent,score,completed
15,C103,1,37.96,31.24,0
15,C103,2,26.31,29.31,0
15,C103,3,45.11,19.97,0
15,C103,4,40.15,52.05,0
15,C103,5,19.32,60.25,0
15,C103,6,11.49,25.98,0
15,C103,7,55.78,21.65,0
15,C103,8,26.06,25.14,0
16,C102,1,24.07,47.84,0
16,C102,2,33.52,24.7,0
16,C102,3,53.92,26.47,0
16,C102,4,38.08,44.54,0
16,C102,5,21.68,26.7,0
16,C102,6,37.42,44.25,0
16,C102,7,44.73,24.57,0
16,C102,8,42.72,26.22,0
16,C102,9,35.42,32.07,0
16,C102,10,27.78,51.58,0
16,C102,11,38.2,47.3,0
16,C102,12,42.99,35.41,0
17,C101,1,20.54,56.41,0
17,C101,2,21.91,53.0,0
17,C101,3,38.91,26.18,0
17,C101,4,38.89,36.46,0
17,C101,5,13.64,68.92,0
17,C101,6,28.95,60.91,0
17,C101,7,39.16,34.24,0
17,C101,8,16.06,52.68,0
17,C101,9,17.74,66.17,0
17,C101,10,21.79,39.16,0
18,C101,1,32.91,29.04,0
18,C101,2,21.0,41.16,0
18,C101,3,45.75,19.93,0
18,C101,4,24.39,40.98,0
18,C101,5,14.96,16.39,0
18,C101,6,22.0,34.3,0
18,C101,7,46.39,39.75,0
18,C101,8,37.2,35.1,0
18,C101,9,28.74,22.46,0
18,C101,10,28.75,33.17,0
19,C101,1,18.15,54.31,0
19,C101,2,37.87,44.89,0
19,C101,3,40.95,37.91,0
19,C101,4,21.71,49.88,0
19,C101,5,25.17,47.98,0
19,C101,6,18.61,46.89,0
19,C101,7,41.76,45.52,0
19,C101,8,33.08,78.82,0
19,C101,9,18.65,59.6,0
19,C101,10,26.6,79.37,0
20,C101,1,22.93,21.69,0
20,C101,2,9.3,22.8,0
20,C101,3,39.72,21.96,0
20,C101,4,35.48,58.83,0
20,C101,5,41.94,22.03,0
20,C101,6,22.31,38.06,0
20,C101,7,33.76,38.77,0
20,C101,8,44.37,23.65,0
20,C101,9,13.66,50.99,0
20,C101,10,30.63,49.25,0
21,C101,1,29.26,19.76,0
21,C101,2,37.14,12.93,0
21,C101,3,62.44,2.44,0
21,C101,4,34.83,21.48,0
21,C101,5,42.84,30.35,0
21,C101,6,22.86,0.0,0
21,C101,7,70.42,16.44,0
21,C101,8,27.44,42.95,0
21,C101,9,37.98,37.37,0
21,C101,10,37.39,50.59,0
22,C103,1,15.13,81.07,1
22,C103,2,20.05,87.03,1
22,C103,3,19.44,51.19,1
22,C103,4,22.32,40.12,1
22,C103,5,9.99,35.91,1
22,C103,6,15.02,77.26,1
22,C103,7,33.01,45.07,1
22,C103,8,25.46,45.8,1
23,C103,1,36.53,23.91,0
23,C103,2,36.81,0.0,0
23,C103,3,54.72,0.0,0
23,C103,4,45.53,23.65,0
23,C103,5,25.56,10.44,0
23,C103,6,24.08,17.21,0
23,C103,7,67.68,2.24,0
23,C103,8,43.47,10.2,0
24,C101,1,30.62,15.37,0
24,C101,2,25.9,12.93,0
24,C101,3,68.43,20.95,0
24,C101,4,24.35,34.11,0
24,C101,5,30.57,27.59,0
24,C101,6,38.26,42.26,0
24,C101,7,42.02,14.84,0
24,C101,8,28.85,0.0,0
24,C101,9,15.72,51.4,0
24,C101,10,49.17,27.16,0
25,C103,1,25.98,96.26,0
25,C103,2,32.33,48.15,0
25,C103,3,27.81,17.32,0
25,C103,4,25.14,38.73,0
25,C103,5,12.38,40.37,0
25,C103,6,15.05,75.38,0
25,C103,7,42.23,33.3,0
25,C103,8,35.15,51.23,0
26,C101,1,48.5,38.03,0
26,C101,2,21.05,27.09,0
26,C101,3,38.86,6.13,0
26,C101,4,42.1,58.58,0
26,C101,5,17.17,38.39,0
26,C101,6,25.19,22.64,0
26,C101,7,41.9,11.32,0
26,C101,8,32.69,17.48,0
26,C101,9,35.07,29.19,0
26,C101,10,29.61,16.33,0
27,C103,1,38.13,41.44,0
27,C103,2,20.53,35.42,0
27,C103,3,53.32,5.92,0
27,C103,4,35.98,23.99,0
27,C103,5,36.25,22.48,0
27,C103,6,12.13,9.51,0
27,C103,7,46.18,25.21,0
27,C103,8,21.28,43.5,0
28,C103,1,36.15,0.57,0
28,C103,2,28.94,19.45,0
28,C103,3,44.85,8.65,0
28,C103,4,49.37,10.09,0
28,C103,5,47.27,1.79,0
28,C103,6,43.5,40.36,0
28,C103,7,25.0,4.52,0
28,C103,8,44.08,15.69,0
29,C103,1,19.79,48.49,0
29,C103,2,23.49,64.71,0
29,C103,3,39.26,34.84,0
29,C103,4,21.37,39.88,0
29,C103,5,21.2,53.11,0
29,C103,6,21.3,51.54,0
29,C103,7,54.3,40.18,0
29,C103,8,22.08,65.21,0
30,C103,1,9.44,21.17,0
30,C103,2,11.08,31.01,0
30,C103,3,44.35,40.96,0
30,C103,4,32.66,33.0,0
30,C103,5,37.59,3.12,0
30,C103,6,31.76,47.85,0
30,C103,7,29.66,35.63,0
30,C103,8,32.77,30.06,0
31,C102,1,40.77,53.59,0
31,C102,2,25.12,43.97,0
31,C102,3,28.23,42.21,0
31,C102,4,16.58,51.93,0
31,C102,5,19.51,58.04,0
31,C102,6,25.78,66.42,0
31,C102,7,30.86,31.21,0
31,C102,8,15.63,44.19,0
31,C102,9,26.12,62.21,0
31,C102,10,16.07,63.9,0
31,C102,11,33.69,57.06,0
31,C102,12,37.72,39.25,0
32,C101,1,14.03,47.02,0
32,C101,2,41.99,23.74,0
32,C101,3,54.92,5.13,0
32,C101,4,62.57,26.51,0
32,C101,5,35.72,35.46,0
32,C101,6,39.99,27.93,0
32,C101,7,42.62,21.1,0
32,C101,8,56.09,44.76,0
32,C101,9,52.77,16.91,0
32,C101,10,23.1,22.69,0
33,C102,1,36.39,17.39,0
33,C102,2,40.26,40.41,0
33,C102,3,36.2,18.4,0
33,C102,4,11.96,55.13,0
33,C102,5,27.32,23.43,0
33,C102,6,15.15,37.74,0
33,C102,7,54.83,25.92,0
33,C102,8,13.3,39.09,0
33,C102,9,24.24,2.33,0
33,C102,10,26.18,39.32,0
33,C102,11,32.85,70.51,0
33,C102,12,36.68,38.75,0
34,C103,1,62.49,27.4,0
34,C103,2,33.8,26.15,0
34,C103,3,52.68,16.23,0
34,C103,4,27.21,18.31,0
34,C103,5,33.27,18.36,0
34,C103,6,25.65,28.11,0
34,C103,7,47.6,32.71,0
34,C103,8,5.0,42.88,0
35,C102,1,6.03,54.3,0
35,C102,2,17.11,38.33,0
35,C102,3,24.22,28.52,0
35,C102,4,30.93,73.48,0
35,C102,5,27.8,70.27,0
35,C102,6,12.18,51.58,0
35,C102,7,32.47,27.41,0
35,C102,8,24.16,55.84,0
35,C102,9,17.08,70.11,0
35,C102,10,22.41,54.03,0
35,C102,11,27.07,43.23,0
35,C102,12,23.53,68.34,0
36,C101,1,31.99,18.9,0
36,C101,2,37.75,34.89,0
36,C101,3,38.26,35.6,0
36,C101,4,22.08,16.54,0
36,C101,5,13.88,46.76,0
36,C101,6,16.54,63.99,0
36,C101,7,23.26,42.08,0
36,C101,8,30.89,36.22,0
36,C101,9,23.62,43.65,0
36,C101,10,28.5,54.22,0
37,C101,1,27.63,38.15,0
37,C101,2,25.82,48.22,0
37,C101,3,24.47,15.58,0
37,C101,4,32.83,46.16,0
37,C101,5,24.7,43.88,0
37,C101,6,29.36,35.5,0
37,C101,7,32.65,31.02,0
37,C101,8,17.73,49.72,0
37,C101,9,11.38,59.04,0
37,C101,10,30.46,47.44,0
38,C103,1,32.82,70.97,0
38,C103,2,8.15,36.56,0
38,C103,3,27.26,37.43,0
38,C103,4,24.75,44.87,0
38,C103,5,22.42,44.43,0
38,C103,6,16.8,34.66,0
38,C103,7,25.16,23.65,0
38,C103,8,14.24,71.56,0
39,C102,1,61.39,36.11,0
39,C102,2,34.71,15.83,0
39,C102,3,56.68,13.38,0
39,C102,4,34.03,67.11,0
39,C102,5,31.65,45.95,0
39,C102,6,25.03,28.18,0
39,C102,7,68.34,12.87,0
39,C102,8,52.45,39.32,0
39,C102,9,26.57,38.19,0
39,C102,10,43.3,38.04,0
39,C102,11,15.58,17.8,0
39,C102,12,30.0,27.59,0
40,C102,1,24.65,30.66,0
40,C102,2,26.23,59.85,0
40,C102,3,39.26,44.6,0
40,C102,4,29.75,57.58,0
40,C102,5,22.73,25.77,0
40,C102,6,26.61,53.8,0
40,C102,7,37.02,21.03,0
40,C102,8,14.89,66.49,0
40,C102,9,22.97,60.91,0
40,C102,10,23.5,51.14,0
40,C102,11,30.56,42.95,0
40,C102,12,24.02,43.76,0
41,C102,1,26.56,39.25,0
41,C102,2,24.88,54.75,0
41,C102,3,35.58,22.08,0
41,C102,4,25.27,57.62,0
41,C102,5,31.55,51.39,0
41,C102,6,14.95,39.92,0
41,C102,7,53.19,24.77,0
41,C102,8,40.12,28.16,0
41,C102,9,43.52,70.4,0
41,C102,10,26.03,29.23,0
41,C102,11,43.95,59.61,0
41,C102,12,24.45,29.61,0
42,C101,1,15.83,24.28,0
42,C101,2,19.09,26.54,0
42,C101,3,42.7,27.71,0
42,C101,4,43.52,23.08,0
42,C101,5,38.1,34.85,0
42,C101,6,28.22,48.18,0
42,C101,7,32.3,29.19,0
42,C101,8,30.28,45.44,0
42,C101,9,31.46,74.88,0
42,C101,10,22.59,30.09,0
43,C101,1,25.05,23.72,0
43,C101,2,42.92,54.58,0
43,C101,3,40.26,13.86,0
43,C101,4,35.57,24.99,0
43,C101,5,37.22,36.32,0
43,C101,6,15.21,56.49,0
43,C101,7,64.51,16.06,0
43,C101,8,26.77,37.56,0
43,C101,9,34.17,43.15,0
43,C101,10,51.34,30.62,0
44,C102,1,17.17,19.86,0
44,C102,2,31.44,57.74,0
44,C102,3,42.2,22.79,0
44,C102,4,31.62,48.65,0
44,C102,5,58.57,22.86,0
44,C102,6,26.6,46.49,0
44,C102,7,54.91,39.02,0
44,C102,8,37.98,25.43,0
44,C102,9,38.05,47.45,0
44,C102,10,40.48,38.43,0
44,C102,11,43.09,48.36,0
44,C102,12,46.44,40.55,0
45,C101,1,29.37,57.76,0
45,C101,2,20.38,45.19,0
45,C101,3,38.33,26.73,0
45,C101,4,39.94,42.53,0
45,C101,5,28.44,19.26,0
45,C101,6,34.97,49.34,0
45,C101,7,62.2,23.36,0
45,C101,8,30.05,43.4,0
45,C101,9,42.73,38.23,0
45,C101,10,30.61,48.78,0
46,C101,1,22.03,47.52,0
46,C101,2,35.14,29.21,0
46,C101,3,39.97,22.74,0
46,C101,4,36.19,21.76,0
46,C101,5,21.06,50.27,0
46,C101,6,39.39,43.63,0
46,C101,7,34.03,48.55,0
46,C101,8,13.39,11.63,0
46,C101,9,29.68,37.08,0
46,C101,10,17.07,55.24,0
47,C102,1,20.74,26.21,0
47,C102,2,32.96,55.17,0
47,C102,3,37.46,48.74,0
47,C102,4,16.43,22.53,0
47,C102,5,19.65,44.73,0
47,C102,6,27.61,41.79,0
47,C102,7,41.3,17.76,0
47,C102,8,37.83,44.18,0
47,C102,9,35.05,50.55,0
47,C102,10,29.43,53.96,0
47,C102,11,29.35,55.05,0
47,C102,12,36.85,48.36,0
48,C101,1,22.07,73.53,0
48,C101,2,17.62,78.94,0
48,C101,3,33.81,20.31,0
48,C101,4,23.72,41.71,0
48,C101,5,29.12,42.14,0
48,C101,6,19.36,23.58,0
48,C101,7,30.69,10.38,0
48,C101,8,10.74,63.33,0
48,C101,9,28.7,58.31,0
48,C101,10,15.41,51.21,0
49,C102,1,16.59,64.5,0
49,C102,2,34.92,38.64,0
49,C102,3,40.77,30.05,0
49,C102,4,8.63,38.24,0
49,C102,5,20.88,26.93,0
49,C102,6,24.49,68.91,0
49,C102,7,46.3,22.25,0
49,C102,8,32.18,62.94,0
49,C102,9,35.35,42.84,0
49,C102,10,21.19,52.42,0
49,C102,11,30.57,55.38,0
49,C102,12,32.74,57.69,0
50,C102,1,43.48,37.47,0
50,C102,2,51.11,24.17,0
50,C102,3,62.8,24.98,0
50,C102,4,23.65,27.25,0
50,C102,5,26.99,40.87,0
50,C102,6,35.48,25.9,0
50,C102,7,45.07,44.43,0
50,C102,8,47.61,41.05,0
50,C102,9,30.59,36.31,0
50,C102,10,36.39,19.16,0
50,C102,11,27.62,9.48,0
50,C102,12,34.23,44.21,0
51,C103,1,45.59,16.85,0
51,C103,2,15.3,38.6,0
51,C103,3,55.28,40.33,0
51,C103,4,25.33,51.42,0
51,C103,5,29.52,32.65,0
51,C103,6,38.71,45.02,0
51,C103,7,29.14,38.26,0
51,C103,8,43.65,25.85,0
52,C102,1,28.68,51.45,0
52,C102,2,20.11,37.47,0
52,C102,3,36.73,43.42,0
52,C102,4,29.09,41.98,0
52,C102,5,30.96,4.81,0
52,C102,6,34.05,21.45,0
52,C102,7,33.96,20.5,0
52,C102,8,14.0,64.95,0
52,C102,9,20.79,52.74,0
52,C102,10,24.24,54.7,0
52,C102,11,25.26,28.3,0
52,C102,12,32.8,40.13,0
53,C101,1,31.15,42.72,0
53,C101,2,46.64,14.98,0
53,C101,3,50.28,10.26,0
53,C101,4,61.5,25.94,0
53,C101,5,41.55,35.66,0
53,C101,6,39.23,16.32,0
53,C101,7,52.13,12.76,0
53,C101,8,35.89,31.12,0
53,C101,9,36.97,31.2,0
53,C101,10,35.36,21.39,0
54,C103,1,50.9,19.22,0
54,C103,2,51.96,0.0,0
54,C103,3,85.63,7.95,0
54,C103,4,53.39,0.0,0
54,C103,5,46.95,0.0,0
54,C103,6,30.88,42.74,0
54,C103,7,56.01,11.52,0
54,C103,8,50.3,21.46,0
55,C102,1,29.27,80.16,0
55,C102,2,25.6,47.12,0
55,C102,3,48.29,40.46,0
55,C102,4,36.42,53.69,0
55,C102,5,16.15,68.61,0
55,C102,6,16.13,48.65,0
55,C102,7,32.58,28.76,0
55,C102,8,28.96,48.93,0
55,C102,9,29.77,68.31,0
55,C102,10,30.04,40.44,0
55,C102,11,34.48,61.95,0
55,C102,12,15.42,53.07,0
56,C103,1,20.53,72.45,0
56,C103,2,21.65,53.7,0
56,C103,3,32.87,34.7,0
56,C103,4,14.46,30.22,0
56,C103,5,34.91,39.11,0
56,C103,6,15.26,19.52,0
56,C103,7,29.33,21.31,0
56,C103,8,35.27,66.96,0
57,C101,1,54.5,47.09,0
57,C101,2,27.76,0.0,0
57,C101,3,70.46,7.68,0
57,C101,4,14.06,47.7,0
57,C101,5,56.44,53.13,0
57,C101,6,36.98,41.29,0
57,C101,7,55.55,29.17,0
57,C101,8,34.05,33.93,0
57,C101,9,30.48,21.06,0
57,C101,10,28.22,6.97,0
58,C102,1,18.5,24.07,0
58,C102,2,29.24,61.5,0
58,C102,3,49.83,11.38,0
58,C102,4,18.49,54.73,0
58,C102,5,18.55,37.25,0
58,C102,6,32.65,26.1,0
58,C102,7,42.35,13.74,0
58,C102,8,22.06,45.42,0
58,C102,9,12.94,47.23,0
58,C102,10,27.41,48.91,0
58,C102,11,29.65,61.09,0
58,C102,12,28.74,34.18,0
59,C101,1,31.02,44.45,0
59,C101,2,26.62,33.18,0
59,C101,3,33.6,15.12,0
59,C101,4,41.58,25.05,0
59,C101,5,20.2,32.94,0
59,C101,6,34.1,39.29,0
59,C101,7,50.32,22.41,0
59,C101,8,28.71,31.18,0
59,C101,9,45.05,25.9,0
59,C101,10,28.98,53.22,0
60,C103,1,23.0,45.85,0
60,C103,2,24.88,45.59,0
60,C103,3,44.65,53.97,0
60,C103,4,19.96,27.25,0
60,C103,5,23.8,86.49,0
60,C103,6,17.95,72.38,0
60,C103,7,50.49,26.33,0
60,C103,8,29.17,72.22,0
61,C102,1,27.29,27.97,0
61,C102,2,19.37,26.95,0
61,C102,3,31.97,24.8,0
61,C102,4,21.76,40.2,0
61,C102,5,14.09,41.66,0
61,C102,6,37.41,6.79,0
61,C102,7,47.56,36.74,0
61,C102,8,17.47,61.78,0
61,C102,9,33.36,26.12,0
61,C102,10,28.73,45.07,0
61,C102,11,30.02,44.77,0
61,C102,12,20.29,39.23,0
62,C103,1,34.17,8.65,0
62,C103,2,26.78,40.75,0
62,C103,3,66.13,20.9,0
62,C103,4,22.56,17.46,0
62,C103,5,49.83,24.33,0
62,C103,6,62.91,28.11,0
62,C103,7,55.49,11.71,0
62,C103,8,37.06,19.92,0
63,C103,1,30.01,40.12,0
63,C103,2,12.66,24.37,0
63,C103,3,37.98,23.58,0
63,C103,4,6.42,57.74,0
63,C103,5,41.66,51.82,0
63,C103,6,29.11,53.14,0
63,C103,7,33.38,43.8,0
63,C103,8,20.55,55.92,0
64,C102,1,19.49,61.38,0
64,C102,2,23.61,35.17,0
64,C102,3,42.09,22.02,0
64,C102,4,25.31,46.37,0
64,C102,5,34.14,53.62,0
64,C102,6,24.86,58.77,0
64,C102,7,49.22,36.58,0
64,C102,8,25.16,26.83,0
64,C102,9,16.17,41.93,0
64,C102,10,19.98,43.7,0
64,C102,11,25.54,54.45,0
64,C102,12,24.48,53.8,0
65,C103,1,9.09,28.81,0
65,C103,2,25.33,24.76,0
65,C103,3,45.24,43.91,0
65,C103,4,37.42,39.7,0
65,C103,5,39.84,45.13,0
65,C103,6,23.62,33.7,0
65,C103,7,37.24,24.72,0
65,C103,8,28.12,45.31,0
66,C101,1,30.91,59.9,0
66,C101,2,35.52,19.77,0
66,C101,3,17.5,37.37,0
66,C101,4,14.69,38.67,0
66,C101,5,16.46,15.01,0
66,C101,6,31.85,53.43,0
66,C101,7,35.29,2.12,0
66,C101,8,22.07,47.92,0
66,C101,9,13.68,44.79,0
66,C101,10,26.84,50.73,0
67,C103,1,17.76,61.62,0
67,C103,2,24.89,43.26,0
67,C103,3,31.25,24.68,0
67,C103,4,18.53,41.08,0
67,C103,5,41.28,23.1,0
67,C103,6,12.15,65.74,0
67,C103,7,37.59,22.43,0
67,C103,8,35.39,34.59,0
68,C101,1,20.23,59.18,1
68,C101,2,28.37,57.41,1
68,C101,3,28.83,47.33,1
68,C101,4,23.66,89.92,1
68,C101,5,16.68,55.2,1
68,C101,6,19.03,56.33,1
68,C101,7,35.82,45.7,1
68,C101,8,14.49,69.27,1
68,C101,9,9.09,51.93,1
68,C101,10,23.1,56.65,1
69,C101,1,39.23,45.13,0
69,C101,2,41.26,42.28,0
69,C101,3,41.53,4.01,0
69,C101,4,49.94,22.5,0
69,C101,5,30.5,47.27,0
69,C101,6,39.45,34.18,0
69,C101,7,73.94,11.79,0
69,C101,8,43.57,28.2,0
69,C101,9,36.26,50.27,0
69,C101,10,38.92,35.42,0
70,C103,1,18.06,44.43,0
70,C103,2,13.4,27.52,0
70,C103,3,44.94,26.98,0
70,C103,4,19.05,52.86,0
70,C103,5,22.67,69.25,0
70,C103,6,26.46,48.27,0
70,C103,7,29.7,40.84,0
70,C103,8,18.86,81.13,0
71,C101,1,29.95,58.82,0
71,C101,2,33.46,51.59,0
71,C101,3,25.68,36.58,0
71,C101,4,18.83,40.94,0
71,C101,5,28.76,67.45,0
71,C101,6,24.22,53.51,0
71,C101,7,49.73,34.99,0
71,C101,8,44.91,57.36,0
71,C101,9,9.94,60.17,0
71,C101,10,27.11,68.22,0
72,C102,1,21.9,33.06,0
72,C102,2,21.36,38.67,0
72,C102,3,30.0,40.17,0
72,C102,4,35.74,57.34,0
72,C102,5,13.81,58.09,0
72,C102,6,32.12,42.28,0
72,C102,7,33.42,34.43,0
72,C102,8,16.95,61.15,0
72,C102,9,22.04,57.72,0
72,C102,10,16.17,44.86,0
72,C102,11,28.49,45.83,0
72,C102,12,36.18,45.43,0
73,C101,1,33.63,23.87,0
73,C101,2,10.6,22.26,0
73,C101,3,49.27,24.58,0
73,C101,4,47.53,36.68,0
73,C101,5,27.23,68.28,0
73,C101,6,42.81,76.07,0
73,C101,7,48.81,40.34,0
73,C101,8,30.72,56.82,0
73,C101,9,20.94,32.87,0
73,C101,10,25.62,42.59,0
74,C101,1,36.62,49.98,0
74,C101,2,30.6,57.82,0
74,C101,3,33.27,21.83,0
74,C101,4,22.62,7.66,0
74,C101,5,28.9,33.83,0
74,C101,6,44.71,45.12,0
74,C101,7,34.43,42.31,0
74,C101,8,41.82,44.39,0
74,C101,9,27.48,21.26,0
74,C101,10,26.03,51.99,0
75,C101,1,24.99,59.17,1
75,C101,2,10.34,68.61,1
75,C101,3,15.02,47.57,1
75,C101,4,15.69,59.51,1
75,C101,5,7.73,74.2,1
75,C101,6,13.57,48.95,1
75,C101,7,8.95,44.06,1
75,C101,8,26.25,91.42,1
75,C101,9,13.99,57.47,1
75,C101,10,19.08,51.52,1
76,C102,1,31.62,64.63,0
76,C102,2,24.35,43.17,0
76,C102,3,30.41,22.55,0
76,C102,4,23.29,51.74,0
76,C102,5,32.86,34.18,0
76,C102,6,37.72,42.16,0
76,C102,7,37.6,23.34,0
76,C102,8,5.0,59.49,0
76,C102,9,31.38,42.01,0
76,C102,10,25.75,53.96,0
76,C102,11,12.07,38.29,0
76,C102,12,31.86,27.41,0
77,C102,1,13.83,53.11,0
77,C102,2,24.94,21.88,0
77,C102,3,47.66,23.39,0
77,C102,4,18.42,49.12,0
77,C102,5,34.9,30.87,0
77,C102,6,25.76,52.54,0
77,C102,7,43.69,32.5,0
77,C102,8,22.15,33.7,0
77,C102,9,25.96,30.03,0
77,C102,10,5.0,52.66,0
77,C102,11,32.84,10.67,0
77,C102,12,16.74,55.4,0
78,C102,1,16.61,55.58,1
78,C102,2,15.49,87.12,1
78,C102,3,21.2,36.34,1
78,C102,4,13.84,52.2,1
78,C102,5,17.17,90.87,1
78,C102,6,18.28,62.71,1
78,C102,7,23.15,28.7,1
78,C102,8,21.36,65.33,1
78,C102,9,15.51,100.0,1
78,C102,10,18.14,55.22,1
78,C102,11,14.16,83.73,1
78,C102,12,17.12,44.93,1
79,C103,1,16.7,82.97,0
79,C103,2,29.22,48.16,0
79,C103,3,41.4,37.26,0
79,C103,4,27.59,62.14,0
79,C103,5,15.42,45.22,0
79,C103,6,28.86,49.85,0
79,C103,7,29.34,27.03,0
79,C103,8,24.52,85.81,0
80,C102,1,33.67,48.24,0
80,C102,2,32.52,33.84,0
80,C102,3,38.28,22.32,0
80,C102,4,31.32,41.84,0
80,C102,5,46.63,65.9,0
80,C102,6,39.86,31.94,0
80,C102,7,52.27,14.5,0
80,C102,8,37.17,22.62,0
80,C102,9,35.28,46.82,0
80,C102,10,22.2,44.15,0
80,C102,11,48.07,25.28,0
80,C102,12,9.78,17.94,0
81,C101,1,19.07,45.17,1
81,C101,2,15.98,72.77,1
81,C101,3,32.33,37.72,1
81,C101,4,16.87,54.28,1
81,C101,5,13.31,84.39,1
81,C101,6,17.15,78.42,1
81,C101,7,38.57,50.09,1
81,C101,8,16.45,66.21,1
81,C101,9,19.06,46.6,1
81,C101,10,21.3,42.47,1
82,C102,1,16.8,61.64,1
82,C102,2,21.75,54.74,1
82,C102,3,33.7,34.34,1
82,C102,4,25.65,38.44,1
82,C102,5,20.71,87.71,1
82,C102,6,13.25,48.46,1
82,C102,7,33.22,40.88,1
82,C102,8,22.2,65.97,1
82,C102,9,24.08,75.27,1
82,C102,10,22.59,55.01,1
82,C102,11,24.33,87.13,1
82,C102,12,19.0,44.01,1
83,C102,1,19.54,24.91,0
83,C102,2,26.11,49.47,0
83,C102,3,29.92,41.65,0
83,C102,4,21.65,68.14,0
83,C102,5,17.4,65.2,0
83,C102,6,18.6,68.58,0
